J1748-2446A	0.602	11.5632		-2.9		242.1(2)	0.07564	0.119	0.0	0.10
J1748-2446C	0.179	8.43610		-60.6(4)	237(1)		i	i	i	i
J1748-2446D	0.693	4.71398		13.0		243.83		i	i	i	i
J1748-2446E	0.361	2.19780		-1.8		236.84		60.06	23.6	0.02	0.25
J1748-2446F	0.125	5.54014		0.4		239.18		i	i	i	i
J1748-2446G	0.185	21.6719		39.0		237.57		i	i	i	i
J1748-2446H	0.227	4.92589		-8.3		238.13		i	i	i	i
J1748-2446I	0.030	9.57019		-7.1		238.73		1.328	1.818	0.428	0.24 (v)
J1748-2446J	0.948	80.3379		250.0		234.35		1.102	2.454	0.350	0.39 (vi)
J1748-2446K	0.220	2.96965		-9.4		234.81		i	i	i	i	
J1748-2446L	0.149	2.24470		-1.7		237.74		i	i	i	i
J1748-2446M	0.083	3.56957		49		238.65		0.4431	0.596	0	0.16
J1748-2446N	0.154	8.66690		55		238.47		0.3855	1.619	0.000045 0.56
J1748-2446O	0.119	1.67663		-6.9		236.38		0.2595	0.112	0	0.04
J1748-2446P	0.069	1.72862		26		238.79		0.3626	1.272	0	0.44
J1748-2446Q	0.360	2.812		-3.6		234.50		30.295	28.602	0.722	0.53
J1748-2446R	0.101	5.02854		47		237.60		i	i	i	i
J1748-2446S	0.249	6.11664		6.4		236.26		i	i	i	i
J1748-2446T	0.443	7.08491		31		237.70		i	i	i	i
J1748-2446U	0.148	3.28914		30		235.46		3.57026	5.97248	0.60498	0.45
J1748-2446V	0.178	2.07251		-9.5		239.11		0.5036	0.567	0	0.14
J1748-2446W	0.037	4.20518		12		239.14		4.877	5.869	0.015	0.34
J1748-2446X	0.488	2.99926		5.9		240.03		4.99850	5.1071	0.3024	0.29	
J1748-2446Y	0.056	2.04816		15		239.11		1.16443	1.1785	0.00002	0.16
J1748-2446Z	0.033	2.46259		-8.6		238.85		3.48807	3.5304	0.7608	0.25
J1748-2446aa	0.222	5.78804		-44		237.42		i	i	i	i
J1748-2446ab	0.038	5.11971		42		238.34		i	i	i	i
J1748-2446ac	0.337	5.08691		23		238.72		i	i	i	i
J1748-2446ad	0.232	1.39595		-3.4		235.6		1.09443	1.1028	0	0.16	
J1748-2446ae	0.032	3.65859		-57		238.75		0.17073	0.0406	0	0.019
J1748-2446af	0.145	3.30434		-23		237.34		i	i	i	i
J1748-2446ag	0.167	4.44803		1.2		237.75		i	i	i	i
J1748-2446ah	0.127	4.96515		57		237.75		i	i	i	i
J1748-2446ai	0.192	21.22838	140		233.9		0.85088	2.8088	0.4400	0.57
J1748-2446aj	0.17	2.95891		14.1232(6)	238.633(6)	i	i	i	i
J1748-2446ak	0.287	1.89010		8.8495(6)	236.705(5)	i	i	i	i
J1748-2446al	*	5.95		 *		236.50		i	i	i	i
J1748-2446am	*	2.93382		-13.680(3)	238.18		0.80011	0.9378	0.20475	0.17 (xiii)	
J1748-2446an	0.201	4.802		15.5746(6)	237.736(8)	9.61975	12.78204 0.0065856(6)	0.504	
B1745-20	0.04	288.603	+0.39933(10)*10-15	219.4(2)	i	i	i	i	
J1748-2021B	0.07	16.7601		-32.913(16)	220.922(11)	20.5500 4.46699	0.57016	0.090 (vii)
J1748-2021C	0.45	6.22693		-5.984(16)	226.95(6)	i	i	i	i
J1748-2021D    	0.55	13.4958		58.678(16)	224.98(3)	0.28607	0.3972	0.00	0.14
J1748-2021E	0.13	16.2640		31.24(4)	224.10(4)	i	i	i	i	
J1748-2021F	0.09	3.79363		-1.055(18)	220.43(8)	9.83397	9.49757	0.0531	0.35
J1748-2021G 	0.07 	5.21534 	-15.9525(7) 	219.601(2) 	i 	i 	i 	i
J1748-2021H 	0.09 	2.84849 	18.9976(9) 	222.584(7) 	0.36079 0.025324 0 	0.0072
J1750-37A	0.21	111.608		566.1(8)	233.82(3)	17.3343	24.439	0.71243	0.7 (viii)
J1750-3703B	0.33	6.07454		1.92(4)		234.391(9)	3.60511 2.8659  0.00404 0.19
J1750-3703C	0.11	26.5687		-99.6(3)	230.67(2)	i	i	i	i
J1750-3703D	0.05	5.13994		49.28(2)	230.09(17)	i	i	i	i
J1750-3703E	*	251.15877	*		230.94		i	i	i	i
J1750-3703F	*	6.00660		*		228.210		*	*	*	*
J1750-3703G	*	5.35226		*		229.198		i	i	i	i
J1750-3703H     *       4.6529          *               227.25          i       i       i       i
J1750-3703I     *       4.9764          *               230.74          i       i       i       i
J1801-0857A	0.022	7.17561		-51.310(4)	182.56(1)	i	i	i	i
J1801-0857B	0.022	28.96159	+219.10(5)	182.39(6)	59.8364	33.8754	0.038	0.38
J1801-0857C	0.057	3.73870		-6.5(2)		182.26(3)	i	i	i	i
J1801-0857D	1.202	4.22653		+0.69(6)	174.71(9)	i	i	i       i	
J1801-0857E	*	7.60		-103		183.29		i	i	i	i
J1801-0857F	*	24.89		-267		183.713		i	i	i	i
J1801-0857G	*	51.59		+7.99		185.3		i	i	i	i
J1801-0857H	*	5.64272		360		179.6		i	i	i	i
J1801-0857I 	* 	3.25 		107 		177.8 		i 	i 	i 	i
J1801-0857J 	* 	* 		* 		* 		* 	* 	* 	* 
J1801-0857K 	* 	* 		* 		* 		i 	i 	i 	i
J1801-0857L 	* 	* 		* 		* 		i 	i 	i 	i
J1803-3002A	0.24 	7.10139 	4.0(1) 		192.6234(5)	i	i	i	i
J1803-3002B	*	4.397		 *		192.6		i	i	i	i
J1803-3002C	*	5.840		 *		194.5		i	i	i	i
J1803-3002D	*	5.53		 *		192.73		i	i	i	i
J1803-3002D     *       17.926           *              192.8           i       i       i       i
B1802-07        0.25    23.1009         +47.0(4)        186.38(1)       2.61676 3.92059 0.21206 0.35 (ix)
J1807-2459A	0.07	3.05945	        -0.4335(3)	134.0040(6)	0.07109 0.01222	0.0	0.010
J1807-2500B	0.20	4.18618		8.23245(18)	137.1535(20)	9.95667	28.9204	0.74703	1.47 (x)
B1820-30A	0.05	5.44000		+338.5(1)	86.880(6)	i	i	i	i
B1820-30B	0.23	378.596	     +0.0315(3)*10-15	87.0(1)	i	i	i	i       i 
J1823-3021C	0.134	405.934	     +0.2240(25)*10-15	86.88(24)	i	i	i	i	
J1823-3021D	0.14	3.020		 *		86.9		i	i	i	i
J1823-3021E	*	4.394		 *		91.4		i	i	i	i
J1823-3021F	*	4.850		 *		86.7		0.22068	0.28539	0	0.119
J1823-3021G	0.082	6.09129		-1.8(2)		86.206(6)	1.54014	3.00331	0.380466(6) 0.384 
J1823-3021H	*	5.13	 	 *		86.85		i	i	i	i
J1823-3021I	*	4.319		 *		87.31(4)	i	i	i	i
J1823-3021J	*	20.899		 *		86.82(7)	i	i	i	i
J1823-3021K	1.43	2.768		 *		87.50(7)	i	i	i	i
J1823-3022	2.99	2497.7869    0.8123*10-15	96.7(2)		i	i	i	i
B1821-24A	0.204	3.05431		+155(7)		120		i	i	i	i
J1824-2452B	0.152	6.54666		-24.15(94)	119.361(18)	i	i	i	i	
J1824-2452C	0.167	4.15828		17.0158(12)	120.5698(12)	8.07781	7.35739	0.84704372(82)	0.30 (xiv)
J1824-2452D	0.257	79.83543	0.0982*10-15	119.87(12)	30.41151 24.87142 0.776334(12)	0.45
J1824-2452E	0.050	5.41913		-10.88(26)	119.631(19)	i	i	i	i
J1824-2452F	2.794	2.45115		0.9494(24)	123.6079(20)	i	i	i	i
J1824-2452G	0.093	5.90906		17.89(40)	119.674(14)	0.10458	0.016495 0.0	0.011
J1824-2452H	0.319	4.62941		8.19(62)	121.532(50)	0.43503	0.71945	0.0	0.20
J1824-2452I	*	3.93185		 *		119.0		0.45941	0.7658	0.0	0.20
J1824-2452J	0.048	4.03969		-7.57(20)	119.1408(72)	0.09743	0.02502	0.0	0.015
J1824-2452K	*	4.46105		 *		119.8		3.91034	2.6050	0.001524(4) 0.16
J1824-2452L	*	4.10011		 *		119.0		0.22571	0.0570	0.0	0.022
J1824-2452M 	0.085 	4.78428		12.2818		119.352 	0.24252 0.03246 0.0 	0.012
J1824-2452N 	0.058 	3.35287 	15.9209 	119.321 	0.19849 0.04973 0.0 	0.021
J1835-3259A	*	3.889		*		63.35		9.2460	19.6	0.968	0.90
J1835-3259B	0.038	1.83029		6.65		63.5083(6)	1.19786	1.43084	0.0000349 0.201
J1836-2354A	0.68	3.35434		+0.2318(3)	89.107(2)	0.20283	0.0464	0.0	0.020
J1836-2354B	0.21	3.23227		-0.048(6)	93.3(2)		i	i	i       i	
J1836-2354C	*	5.64		*		87.869		*	*	*       *	
J1836-2354D	*	7.79		*		89.543		i	i	i       i	
