438;J0919-42;09:19;-42:00;
439;J0919-6040;09:19:27.8;-60:40:50.4;
440;J0921-5202;09:21;-52:02;
441;J0921+6254;09:21:14.1;+62:54:13.9;
442;J0922+0638;09:22:14.0;+06:38:23.3;
443;J0922-4949;09:22:14.9;-49:49:12.0;
444;J0923-31;09:23:58;-31:57;
445;J0924-5302;09:24:08.7;-53:02:42.6;
446;J0924-5814;09:24:30.8;-58:14:05.1;
447;J0927+2345;09:27:45.2;+23:45:10.7;
448;J0928+06;09:28:44;+06:14;
449;J0928+30;09:29:00;+30:38;
450;J0930-2301;09:30:02.8;-23:01:45;
451;J0931-1902;09:31:19.1;-19:02:55.0;
452;J0932-3217;09:32:39.1;-32:17:14.2;
453;J0932-5327;09:32:22.8;-53:27:11.0;
454;J0934-4154;09:34:58.2;-41:54:19.5;
455;J0934-5249;09:34:28.2;-52:49:27.3;
456;J0935+33;09:35:06;+33:11;
457;J0940-5428;09:40:58.2;-54:28:40.6;
458;J0941-39;09:41:38;-39:41;
459;J0941-5244;09:41:41.1;-52:44:04.4;
460;J0942-5552;09:42:14.8;-55:52:55.1;
461;J0942-5657;09:42:54.4;-56:57:43.2;
462;J0943+1631;09:43:30.1;+16:31:37;
463;J0943+2253;09:43:32.3;+22:53:05.6;
464;J0944-1354;09:44:28.9;-13:54:41.6;
465;J0944+4106;09:44:18.1;+41:06:04.5;
466;J0945-4833;09:45:38.2;-48:33:14.5;
467;J0946+0951;09:46:07.6;+09:51:55;
468;J0947+2740;09:47:21.2;+27:40:43.5;
469;J0949-6902;09:49:20.5;-69:02:41.6;
470;J0951-71;09:51:24;-71:19:01;
471;J0952-0607;09:52:08.3;-06:07:23.4;
472;J0952-3839;09:52:17.2;-38:39:10.2;
473;J0953+0755;09:53:09.3;+07:55:35.7;
474;J0954-5430;09:54:06.0;-54:30:52.8;
475;J0955-5304;09:55:29.4;-53:04:16.6;
476;J0955-6150;09:55:12;-61:50;
477;J0957-06;09:57;-06:17;
478;J0957-5432;09:57:56.0;-54:32:03.9;
479;J0959-4809;09:59:26.2;-48:09:47.4;
480;J1000+08;10:00:38;+08:19:58;
481;J1000-5149;10:00:28.1;-51:49:58.1;
482;J1001-5507;10:01:37.8;-55:07:07.8;
483;J1001-5559;10:01:08.6;-55:59:00.2;
484;J1001-5939;10:01:32.2;-59:39:17.8;
485;J1002-5559;10:02:57.9;-55:59:37;
486;J1002-5919;10:02:20.5;-59:19:37.2;
487;J1003-4747;10:03:21.5;-47:47:01.1;
488;J1005+30;10:05:30;+30:15;
489;J1006-6311;10:06:36.6;-63:11:41.2;
490;J1010+15;10:10:00;+15:51;
491;J1012-2337;10:12:33.7;-23:38:22.4;
492;J1012-4235;10:12:12.9;-42:35:53.4;
493;J1012+5307;10:12:33.4;+53:07:02.2;
494;J1012-5830;10:12:54.9;-58:30:25.6;
495;J1012-5857;10:12:48.4;-58:57:48.5;
496;J1013-5934;10:13:31.8;-59:34:26.6;
497;J1014-48;10:14:18;-48:49:42;
498;J1015-5719;10:15:37.9;-57:19:12.8;
499;J1016-5345;10:16:31.1;-53:45:14.2;
500;J1016-5819;10:16:12.0;-58:19:01.0;
501;J1016-5857;10:16:21.1;-58:57:12.1;
502;J1017+3011;10:17:36.2;+30:11:46.1;
503;J1017-5621;10:17:12.8;-56:21:30.5;
504;J1017-7156;10:17:51.3;-71:56:41.6;
505;J1018-1523;10:18;-15;
506;J1018-1642;10:18:40.3;-16:42:10.1;
507;J1019-5749;10:19:52.1;-57:49:05.9;
508;J1020-5921;10:20:14.0;-59:21:34;
509;J1020-6026;10:20:11.4;-60:26:06.3;
510;J1021-5601;10:21:24.8;-56:01:50.9;
511;J1022+1001;10:22:57.9;+10:01:52.6;
512;J1022-5813;10:22:28.1;-58:13:30;
513;J1023+0038;10:23:47.6;+00:38:40.8;
514;J1023-5746;10:23:02.9;-57:46:05;
515;J1024-0719;10:24:38.6;-07:19:19.5;
516;J1028-5819;10:28:28.0;-58:19:05.2;
517;J1031-6117;10:31:02.2;-61:17:50.6;
518;J1032-5206;10:32:27.6;-52:06:08.5;
519;J1032-5911;10:32:04.8;-59:11:54.8;
520;J1034-3224;10:34:19.5;-32:24:26.0;
521;J1035-6345;10:35:03.0;-63:45:18.4;
522;J1035-6720;10:35:27.4;-67:20:12.6;
523;J1036-4926;10:36:13.1;-49:26:21.2;
524;J1036-6559;10:36:20.0;-65:59:09.2;
525;J1036-8317;10:36:40.5;-83:17:56.0;
526;J1038+0032;10:38:26.9;+00:32:43.6;
527;J1038-5831;10:38:19.7;-58:31:27.1;
528;J1041-1942;10:41:36.1;-19:42:13.6;
529;J1042-5521;10:42:00.4;-55:21:05.7;
530;J1043-6116;10:43:55.2;-61:16:50.7;
531;J1044-5737;10:44:32.8;-57:37:19.3;
532;J1045-0436;10:45;-04;
533;J1045-4509;10:45:50.1;-45:09:54.1;
534;J1046+0304;10:46:43.2;+03:04:06.9;
535;J1046-5813;10:46:18.8;-58:13:52.0;
536;J1047-3032;10:47:00.8;-30:32:18.0;
537;J1047-6709;10:47:28.2;-67:09:51.0;
538;J1048+2339;10:48:43.4;+23:39:53.4;
539;J1048-5832;10:48:13.0;-58:32:06.2;
540;J1048-5838;10:48:12.5;-58:38:19.0;
541;J1049+5822;10:49:37.9;+58:22:17.1;
542;J1049-5833;10:49:50.3;-58:33:44.6;
543;J1050-5953;10:50:07.1;-59:53:21.4;
544;J1052-5954;10:52:38.1;-59:54:44.1;
545;J1052-6348;10:52:53.3;-63:48:16.6;
546;J1054-5943;10:54:57.7;-59:43:14.1;
547;J1054-5946;10:54:30.4;-59:46:31.0;
548;J1054-6452;10:54:08.8;-64:52:37.5;
549;J1055-6022;10:55:48.5;-60:22:52;
550;J1055-6028;10:55:39.1;-60:28:37.5;
551;J1055-6236;10:55:54.6;-62:36:48.3;
552;J1055-6905;10:55:44.7;-69:05:11.4;
