#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
106;J0156+3949;dtws85;01:56:55.2;2.1e-01;hlk+04;+39:49:29;4.1e+00;hlk+04;*;0;*;*;0;*;49701.00;hlk+04;*;*;*;*;
107;J0157+6212;dls72;01:57:49.9434;1.0e-04;dgb+19;+62:12:26.648;1.0e-03;dgb+19;1.57;6.0e-02;dgb+19;44.80;4.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
108;J0158+21;dsm+13;01:58:29;3.2e+01;dsm+13;+21:08;8.0e+00;dsm+13;*;0;*;*;0;*;55387.00;*;*;*;*;*;
109;J0201+7005;kkl+15;02:01:41.344;7.0e-03;kkl+15;+70:05:18.11;6.0e-02;kkl+15;*;0;*;*;0;*;56777.00;*;*;*;*;*;
110;J0203-0150;mzl+23;02:03:33.91215;4.0e-05;mzl+23;-01:50:01.5874;9.0e-04;mzl+23;*;0;*;*;0;*;59505.77;*;ELL1;mzl+23;He[mzl+23];*;
111;J0205+6449;mss+02;02:05:37.92247;1.5e-04;bkr+13;+64:49:41.3343;1.0e-03;bkr+13;-1.40;1.6e-01;bkr+13;0.54;1.6e-01;bkr+13;55487;bkr+13;*;*;*;*;
112;J0206-4028;mlt+78;02:06:01.293;5.0e-03;jbv+19;-40:28:03.62;7.0e-02;jbv+19;9;4.0e+00;jbv+19;26;5.0e+00;jbv+19;57600;jbv+19;*;*;*;*;
113;J0209+5759;gac+21;02:09:37.304;1.6e-02;gac+21;+57:59:45.31;1.8e-01;gac+21;*;0;*;*;0;*;58790.00;*;*;*;*;*;
114;J0210+5845;scb+19;02:10:55.4;1.0e-01;tbc+20;+58:45:04;1.0e+00;tbc+20;*;0;*;*;0;*;58011.00;*;*;*;*;*;
115;J0211-8159;lml+98;02:11:59.0;3.0e-01;dsb+98;-81:59:36.2;3.0e-01;dsb+98;*;0;*;*;0;*;49525.14;*;*;*;*;*;
116;J0212+5222;bck+13;02:12:52.138;6.0e-03;lsk+18;+52:22:49.50;4.1e-02;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
117;J0214+5222;slr+14;02:14:55.2713;3.4e-03;slr+14;+52:22:40.95;1.9e-01;slr+14;*;0;*;*;0;*;55974.00;*;BT;*;He[slr+14];*;
118;J0215+6218;llc98;02:15:56.626;9.5e-03;hlk+04;+62:18:33.37;9.8e-02;hlk+04;*;0;*;*;0;*;51341.00;hlk+04;*;*;*;*;
119;J0218+4232;nbf+95;02:18:06.358569;4.0e-06;dyc+14;+42:32:17.37515;8.0e-05;dyc+14;5.35;5.0e-02;dyc+14;-3.74;1.2e-01;dyc+14;55849.1;*;ELL1;dcl+16;He[ker96];*;
120;J0220+3626;ttol16;02:20:42.12;2.0e-02;sbo+22;+36:26:55.7;2.0e-01;sbo+22;*;0;*;*;0;*;57022.00;*;*;*;*;*;
121;J0227+3356;dcm+23;02:26:57.060;1.0e-03;dcm+23;+33:56:27.76;7.0e-02;dcm+23;*;0;*;*;0;*;59304.00;*;*;*;*;*;
122;J0229+20;dsm+13;02:29:03;3.2e+01;dsm+13;+20:58;8.0e+00;dsm+13;*;0;*;*;0;*;55388.00;*;*;*;*;*;
123;J0231+7026;dtws85;02:31:13.99;2.6e-02;hlk+04;+70:26:33.88;1.7e-01;hlk+04;*;0;*;*;0;*;49692.00;hlk+04;*;*;*;*;
124;J0241+16;dsm+13;02:41:46;3.1e+01;dsm+13;+16:04;8.0e+00;dsm+13;*;0;*;*;0;*;55668.00;*;*;*;*;*;
125;J0242+62;hrk+08;02:42:35;3.0e+00;cvh+14;+62:56:50;3.6e+01;cvh+14;*;0;*;*;0;*;54100.00;*;*;*;*;*;
126;J0243+6027;hrk+08;02:43;0;hrk+08;+60:27;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
127;J0244+14;dsm+13;02:44:51;3.1e+01;dsm+13;+14:27;8.0e+00;dsm+13;*;0;*;*;0;*;56160.00;*;*;*;*;*;
128;J0248+4230;brj+21;02:48:31.003;1.0e-03;brj+21;+42:30:20.49;5.0e-02;brj+21;*;0;*;*;0;*;56588.00;*;*;*;*;*;
129;J0248+6021;tpc+11;02:48:18.617;1.0e-03;tpc+11;+60:21:34.72;1.0e-02;tpc+11;48;1.0e+01;tpc+11;48;4.0e+00;tpc+11;54000;tpc+11;*;*;*;*;
130;J0250+5854;tbc+18;02:50:17.78;3.0e-02;tbc+18;+58:54:01.3;2.0e-01;tbc+18;*;0;*;*;0;*;57973.00;*;*;*;*;*;
131;J0251+2606;cck+16;02:51:02.5537;5.0e-04;drc+21;+26:06:09.97;2.0e-02;drc+21;17;3.0e+00;drc+21;*;0;*;56644.00;*;ELL1;drc+21;UL[drc+21];*;
132;J0255-5304;lvw69b;02:55:56.2925;9.0e-04;jbv+19;-53:04:21.275;9.0e-03;jbv+19;25;4.0e+00;jbv+19;7;3.0e+00;jbv+19;57600;jbv+19;*;*;*;*;
133;J0301+35;mgf+19;03:01;0.0e+00;mgf+19;+35;0.0e+00;mgf+19;*;0;*;*;0;*;*;*;*;*;*;*;
134;J0302+2252;ttol16;03:02:31.990;4.0e-03;mbc+20;+22:52:12.1;2.0e-01;mbc+20;*;0;*;*;0;*;57811;mbc+20;*;*;*;*;
135;J0304+1932;fss73;03:04:33.115;1.6e-02;hlk+04;+19:32:51.4;8.0e-01;hlk+04;6;7.0e+00;las82;-37;4.0e+00;las82;49289.00;hlk+04;*;*;*;*;
136;J0305+11;scb+19;03:05:06;1.2e+01;scb+19;+11:23;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
137;J0307+7443;hrm+11;03:07:55;0;aab+22;+74:43:12;0;aab+22;*;0;*;*;0;*;55196.00;*;*;*;*;*;
138;J0312-0921;trr+21;03:12:06.2;0;aab+22;-9:21:56;0;aab+22;*;0;*;*;0;*;*;*;BT;trr+21;UL[trr+21];*;
139;J0317+13;ttm18;03:17:54;1.2e+01;scb+19;+13:29;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
140;J0318+0253;wlz+18;03:18:15.541;1.0e-03;wlc+21;+02:53:01.48;5.0e-02;wlc+21;*;0;*;*;0;*;56437.00;*;*;*;*;*;
141;J0323+3944;dth78;03:23:26.6619;1.0e-04;dgb+19;+39:44:52.403;1.0e-03;dgb+19;26.50;5.0e-02;dgb+19;-30.77;2.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
142;J0324+5239;bck+13;03:24:55.46;4.0e-02;bck+13;+52:39:31.3;2.0e-01;bck+13;*;0;*;*;0;*;56100.00;*;*;*;*;*;
143;J0325+6744;slr+14;03:25:05.11;2.1e-02;lsk+18;+67:44:59.39;1.1e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
144;J0329+1654;lxf+05;03:29:08.55;3.0e-02;lxf+05;+16:54:02;2.0e+00;lxf+05;*;0;*;*;0;*;52225.00;*;*;*;*;*;
145;J0332+5434;cp68;03:32:59.4096;1.0e-04;dgb+19;+54:34:43.329;1.0e-03;dgb+19;16.97;3.0e-02;dgb+19;-10.37;5.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
146;J0335+4555;dtws85;03:35:16.6416;1.0e-04;dgb+19;+45:55:53.452;1.0e-03;dgb+19;-3.66;5.0e-02;dgb+19;-0.08;1.2e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
