96;J0408+551;04:08;0;+55;0;*;0;*;0;54100.00;55
97;J0408+552;04:08;0;+55;0;*;0;*;0;54100.00;63.8
98;J0415+6954;04:15:55.653;3.4e-03;+69:54:09.89;2.5e-02;-0.8;5.2e+00;-13;6.9e+00;49874.00;27.44598
99;J0418-4154;04:18:03.7748;4.0e-04;-41:54:14.42;6.0e-02;*;0;*;0;57600;24.325
100;J0418+5732;04:18:33.867;4.3e-02;+57:32:22.91;3.5e-01;*;0;*;0;55045;*
101;J0418+6635;04:18:48.0;0;+66:35:25;0;*;0;*;0;*;77.6
102;J0419+44;04:19;0;+44;0;*;0;*;0;54100.00;71
103;J0420-5022;04:20:01.95;4.0e-02;-50:22:48.1;6.0e-01;*;0;*;0;55430.60;*
104;J0421-0345;04:21:33.556;1.5e-02;-03:45:06.6;6.0e-01;*;0;*;0;50847.00;44.61
105;J0426+4933;04:26:06.813;1.0e-03;+49:33:38.46;4.0e-02;*;0;*;0;56100.00;84.3
106;J0435+2749;04:35:51.818;4.0e-03;+27:49:01.7;4.0e-01;*;0;*;0;53400.00;53.19
107;J0437-4715;04:37:15.8961737;6.0e-07;-47:15:09.110714;7.0e-06;121.4385;2.0e-03;-71.4754;2.0e-03;54500.00;2.64476
108;J0448-2749;04:48:41.567;5.4e-03;-27:49:46.74;1.1e-01;*;0;*;0;51009.00;26.22
109;J0449-7031;04:49:05.67;5.0e-02;-70:31:31.7;3.0e-01;*;0;*;0;52465.00;65.83
110;J0450-1248;04:50:08.781;3.0e-03;-12:48:07.10;9.0e-02;*;0;*;0;49338.00;37.041
111;J0452-1759;04:52:34.1057;1.0e-04;-17:59:23.371;2.0e-03;11.5;9.0e-01;6;2.0e+00;52275;39.903
112;J0453+1559;04:53:45.41368;5.0e-05;+15:59:21.3063;5.9e-03;-5.5;5.0e-01;-6.0;4.2e+00;56400.00;30.3053
113;J0454+4529;04:54:59.310;8.0e-03;+45:29:46.7;1.0e-01;*;0;*;0;56909.00;20.834
114;J0454+5543;04:54:07.7506;1.0e-04;+55:43:41.437;2.0e-03;53.34;6.0e-02;-17.56;1.4e-01;52275;14.59002
115;J0455-6951;04:55:47.55;8.0e-02;-69:51:34.3;6.0e-01;*;0;*;0;48757.00;94.70
116;J0456-69;04:56:30;0;-69:10;0;*;0;*;0;52038.00;103
117;J0457-6337;04:57:07.79;8.0e-02;-63:37:30.4;9.0e-01;*;0;*;0;52465.00;27.5
118;J0457-69;04:57:02;0;-69:46;0;*;0;*;0;55383.00;91
119;J0459-0210;04:59:51.941;6.7e-03;-02:10:06.6;2.1e-01;*;0;*;0;50845.00;21.02
120;J0501+4516;05:01:06.76;1.0e-02;+45:16:33.92;1.1e-01;*;0;*;0;54750.00;*
121;J0502+4654;05:02:04.561;4.0e-03;+46:54:06.09;9.0e-02;-8;3.0e+00;8;5.0e+00;48717.00;41.834
122;J0502-6617;05:02:50.53;1.0e-01;-66:17:58.8;9.0e-01;*;0;*;0;48771.00;68.9
123;J0506+50;05:06:14.1;0;+50:30:30;0;*;0;*;0;*;43.4
124;J0509+0856;05:09:22.23485;1.0e-05;+08:56:25.0248;8.0e-04;5.4;2.0e-01;-4.3;5.0e-01;57384.00;38.3271
125;J0509+3801;05:09:31.7880;2.6e-04;+38:01:18.083;1.4e-02;*;0;*;0;56900.00;69.0794
126;J0511-6508;05:11:56.50;2.0e-02;-65:08:36.5;3.0e-01;*;0;*;0;52409.00;25.66
127;J0514-4408;05:14:52.190;3.0e-03;-44:08:37.38;2.0e-02;*;0;*;0;57330.00;15.122
128;J0517+2212;05:17:17.147;2.0e-03;+22:12:51.9;2.0e-01;*;0;*;0;53400.00;18.705
129;J0518+5125;05:18:26.145;8.0e-03;+51:25:58.7;2.0e-01;*;0;*;0;57829;39.244
130;J0518+5416;05:18:53.199;1.8e-02;+54:16:50.0;2.9e-01;*;0;*;0;56500.00;42.330
131;J0519+44;05:19;0;+44;0;*;0;*;0;54100.00;52
132;J0519-6932;05:19:46.917;1.2e-02;-69:32:23.48;7.0e-02;*;0;*;0;52466.00;118.86
133;J0520-2553;05:20:36.185;3.4e-03;-25:53:12.29;1.1e-01;*;0;*;0;51216.00;33.77
134;J0521-68;05:21:44;0;-68:35;0;*;0;*;0;51871.00;136
135;J0522-6847;05:22:23.06;8.0e-02;-68:47:02.2;3.0e-01;*;0;*;0;52503.00;126.45
136;J0523-7125;05:23:48.66;3.0e-02;-71:25:52.58;1.5e-01;*;0;*;0;*;157.5
137;J0525+1115;05:25:56.4483;1.1e-03;+11:15:19.08;7.0e-02;31;2.0e+00;-1;8.0e+00;48262.00;79.418
138;J0525-6607;05:26:00.9;1.0e-01;-66:04:36.3;6.0e-01;*;0;*;0;52153.00;*
139;J0529-0715;05:29:08.973;2.0e-03;-07:15:26.43;1.0e-01;*;0;*;0;58372.00;87.3
140;J0529-6652;05:29:50.90;3.0e-02;-66:52:39.9;3.0e-01;*;0;*;0;57600;103.31
141;J0532-6639;05:32:59.51;6.0e-02;-66:39:37.3;5.0e-01;*;0;*;0;52462.00;69.2
142;J0532-69;05:32:04;0;-69:46;0;*;0;*;0;55420.00;124
143;J0533+0402;05:33:25.828;5.0e-03;+04:01:59.7;2.0e-01;*;0;*;0;57600;83.7
144;J0533-4524;05:33:13.89;4.0e-02;-45:24:50.2;2.0e-01;*;0;*;0;57605.56;18.93
145;J0533+6759;05:33:55.1401;3.0e-04;+67:59:17.489;3.0e-03;*;0;*;0;55877.00;57.369
146;J0534+2200;05:34:31.973;5.0e-03;+22:00:52.06;6.0e-02;-14.7;8.0e-01;2.0;8.0e-01;40706;56.77118
147;J0534-6703;05:34:36.17;1.0e-01;-67:03:48.8;8.0e-01;*;0;*;0;52410.00;95.3
148;J0535-66;05:35:40;0;-66:52;0;*;0;*;0;51393.00;75
149;J0536-7543;05:36:30.82;1.0e-02;-75:43:54.8;1.0e-01;3;4.0e+01;65;8.0e+00;57600;18.58
150;J0537-69;05:37:43;0;-69:21;0;*;0;*;0;55420.00;273
151;J0537-6910;05:37:47.416;1.1e-01;-69:10:19.88;6.0e-01;*;0;*;0;52061.33;*
152;J0538+2817;05:38:25.0572;1.0e-04;+28:17:09.161;2.0e-03;-23.57;1.0e-01;52.87;1.0e-01;52275;39.570
153;J0540+3207;05:40:37.116;1.0e-03;+32:07:37.3;1.0e-01;*;0;*;0;54780.00;61.97
154;J0540-6919;05:40:11.202;9.0e-03;-69:19:54.17;5.0e-02;*;0;*;0;51722;147.2
155;J0540-7125;05:40:30.8;3.0e-01;-71:25:31.4;5.0e-01;*;0;*;0;49527.17;29.41
156;J0542-68;05:42:35;0;-68:16;0;*;0;*;0;51975.00;114
157;J0543-6851;05:43:52.71;1.1e-01;-68:51:25.3;9.0e-01;*;0;*;0;52410.00;134.9
158;J0555-7056;05:55:01.85;1.2e-01;-70:56:45.6;6.0e-01;*;0;*;0;52408.00;72.9
159;J0556-67;05:56:25;0;-67:29;0;*;0;*;0;57986.00;71
160;J0557+1550;05:57:31.44918;9.0e-05;+15:50:06.046;8.0e-03;*;0;*;0;56346.00;102.5723
161;J0557-2948;05:57:32.9995;7.0e-04;-29:48:16.804;7.0e-03;*;0;*;0;57381.00;49.033
162;J0601-0527;06:01:58.9752;2.0e-04;-05:27:50.871;4.0e-03;-7.36;7.0e-02;-15.24;9.0e-02;56000.00;80.538
163;J0605+3757;06:05:05.5439;1.0e-04;+37:57:35.96;1.0e-02;*;0;*;0;56130.00;20.9462
